key,hanzi,pinyin,english,level
今天,今天,jīn tiān,today,HSK1
星期一,星期一,xīng qī yī,Monday,HSK1
上午,上午,shàng wǔ,morning,HSK1
我,我,wǒ,I / me,HSK1
去,去,qù,to go,HSK1
学校,学校,xué xiào,school,HSK1
里,里,lǐ,inside,HSK1
有,有,yǒu,to have,HSK1
是,是,shì,to be,HSK1
学生,学生,xué sheng,student,HSK1
老师,老师,lǎo shī,teacher,HSK1
在,在,zài,to be at / in,HSK1
和,和,hé,and / with,HSK1
同学,同学,tóng xué,classmate,HSK1
看,看,kàn,to look / read,HSK1
书,书,shū,book,HSK1
朋友,朋友,péng you,friend,HSK1
看见,看见,kàn jiàn,to see,HSK1
对,对,duì,to / toward,HSK1
说,说,shuō,to say / speak,HSK1
你好,你好,nǐ hǎo,hello,HSK1
谢谢,谢谢,xiè xie,thanks,HSK1
不客气,不客气,bú kè qi,you're welcome,HSK1
下午,下午,xià wǔ,afternoon,HSK1
打电话,打电话,dǎ diàn huà,call by phone,HSK1
给,给,gěi,to / give,HSK1
妈妈,妈妈,mā ma,mom,HSK1
高兴,高兴,gāo xìng,happy,HSK1
晚上,晚上,wǎn shang,evening,HSK1
电视,电视,diàn shì,television,HSK1
电影,电影,diàn yǐng,movie,HSK1
明天,明天,míng tiān,tomorrow,HSK1
还,还,hái,still / also,HSK1
爸爸,爸爸,bà ba,dad,HSK1
家,家,jiā,home,HSK1
我们,我们,wǒ men,we / us,HSK1
都,都,dōu,all,HSK1
很,很,hěn,very,HSK1
回家,回家,huí jiā,go home,HSK1
也,也,yě,also,HSK1
